fecha,plomo
1994-01-31,12.15
1994-02-28,9.87
1994-03-31,11.47
1994-04-30,14.79
1994-05-31,25.11
1994-06-30,10.87
1994-07-31,21.18
1994-08-31,16.47
1994-09-30,21.56
1994-10-31,14.59
1994-11-30,28.69
1994-12-31,8.34
1995-01-31,21.75
1995-02-28,23.32
1995-03-31,9.0
1995-04-30,21.04
1995-05-31,24.55
1995-06-30,27.47
1995-07-31,10.46
1995-08-31,23.4
1995-09-30,19.93
1995-10-31,18.64
1995-11-30,27.41
1995-12-31,31.36
1996-01-31,15.7
1996-02-29,14.34
1996-03-31,20.17
1996-04-30,32.78
1996-05-31,27.91
1996-06-30,17.12
1996-07-31,28.37
1996-08-31,12.36
1996-09-30,31.7
1996-10-31,23.96
1996-11-30,26.01
1996-12-31,23.92
1997-01-31,16.09
1997-02-28,15.83
1997-03-31,23.22
1997-04-30,16.19
1997-05-31,21.35
1997-06-30,16.88
1997-07-31,17.17
1997-08-31,18.94
1997-09-30,18.16
1997-10-31,25.54
1997-11-30,15.13
1997-12-31,32.51
1998-01-31,8.39
1998-02-28,17.14
1998-03-31,10.66
1998-04-30,17.9
1998-05-31,17.85
1998-06-30,23.7
1998-07-31,12.7
1998-08-31,15.32
1998-09-30,23.88
1998-10-31,15.29
1998-11-30,15.36
1998-12-31,30.5
1999-01-31,5.99
1999-02-28,11.58
1999-03-31,15.18
1999-04-30,16.42
1999-05-31,9.6
1999-06-30,19.06
1999-07-31,13.4
1999-08-31,29.84
1999-09-30,11.53
1999-10-31,7.52
1999-11-30,21.79
1999-12-31,15.17
2000-01-31,11.22
2000-02-29,8.14
2000-03-31,22.85
2000-04-30,15.44
2000-05-31,8.89
2000-06-30,20.99
2000-07-31,16.14
2000-08-31,21.07
2000-09-30,8.67
2000-10-31,29.68
2000-11-30,11.36
2000-12-31,15.94
2001-01-31,9.49
2001-02-28,15.93
2001-03-31,12.55
2001-04-30,19.16
2001-05-31,13.07
2001-06-30,21.67
2001-07-31,16.35
2001-08-31,17.31
2001-09-30,14.58
2001-10-31,18.52
2001-11-30,7.7
2001-12-31,29.67
2002-01-31,10.81
2002-02-28,13.2
2002-03-31,23.35
2002-04-30,19.7
2002-05-31,20.59
2002-06-30,9.19
2002-07-31,24.34
2002-08-31,12.33
2002-09-30,18.04
2002-10-31,17.58
2002-11-30,9.58
2002-12-31,32.07
2003-01-31,14.27
2003-02-28,6.6
2003-03-31,12.13
2003-04-30,18.11
2003-05-31,25.69
2003-06-30,29.14
2003-07-31,12.58
2003-08-31,7.55
2003-09-30,19.51
2003-10-31,23.57
2003-11-30,6.27
2003-12-31,25.92
2004-01-31,29.0
2004-02-29,29.11
2004-03-31,33.32
2004-04-30,46.02
2004-05-31,29.83
2004-06-30,16.56
2004-07-31,41.39
2004-08-31,28.11
2004-09-30,25.66
2004-10-31,43.87
2004-11-30,35.11
2004-12-31,31.11
2005-01-31,22.16
2005-02-28,16.52
2005-03-31,75.61
2005-04-30,34.15
2005-05-31,37.51
2005-06-30,39.81
2005-07-31,29.93
2005-08-31,49.76
2005-09-30,35.47
2005-10-31,31.49
2005-11-30,43.61
2005-12-31,75.43
2006-01-31,28.11
2006-02-28,33.97
2006-03-31,41.53
2006-04-30,88.42
2006-05-31,39.21
2006-06-30,29.88
2006-07-31,77.37
2006-08-31,48.56
2006-09-30,25.8
2006-10-31,96.73
2006-11-30,43.51
2006-12-31,159.47
2007-01-31,47.67
2007-02-28,81.09
2007-03-31,96.03
2007-04-30,73.17
2007-05-31,95.77
2007-06-30,68.15
2007-07-31,139.92
2007-08-31,57.8
2007-09-30,114.57
2007-10-31,57.74
2007-11-30,61.36
2007-12-31,139.68
2008-01-31,116.43
2008-02-29,107.61
2008-03-31,116.27
2008-04-30,113.21
2008-05-31,96.73
2008-06-30,65.57
2008-07-31,117.82
2008-08-31,76.05
2008-09-30,126.68
2008-10-31,82.95
2008-11-30,48.41
2008-12-31,67.93
2009-01-31,36.83
2009-02-28,73.14
2009-03-31,35.28
2009-04-30,73.81
2009-05-31,98.76
2009-06-30,94.46
2009-07-31,88.29
2009-08-31,56.67
2009-09-30,136.9
2009-10-31,101.41
2009-11-30,144.34
2009-12-31,175.92
2010-01-31,91.83
2010-02-28,86.36
2010-03-31,166.93
2010-04-30,84.08
2010-05-31,83.07
2010-06-30,145.02
2010-07-31,109.66
2010-08-31,108.25
2010-09-30,116.87
2010-10-31,167.99
2010-11-30,234.39
2010-12-31,184.37
2011-01-31,136.04
2011-02-28,126.87
2011-03-31,153.55
2011-04-30,235.27
2011-05-31,289.77
2011-06-30,141.16
2011-07-31,283.47
2011-08-31,243.36
2011-09-30,172.66
2011-10-31,266.2
2011-11-30,98.97
2011-12-31,279.4
2012-01-31,275.28
2012-02-29,98.22
2012-03-31,209.54
2012-04-30,248.72
2012-05-31,155.34
2012-06-30,254.09
2012-07-31,228.7
2012-08-31,159.36
2012-09-30,252.69
2012-10-31,236.33
2012-11-30,189.39
2012-12-31,267.69
2013-01-31,106.65
2013-02-28,122.35
2013-03-31,113.9
2013-04-30,168.64
2013-05-31,184.62
2013-06-30,170.94
2013-07-31,155.51
2013-08-31,115.0
2013-09-30,206.19
2013-10-31,113.26
2013-11-30,123.37
2013-12-31,195.64
2014-01-31,114.04
2014-02-28,37.16
2014-03-31,150.17
2014-04-30,105.89
2014-05-31,114.92
2014-06-30,118.14
2014-07-31,193.29
2014-08-31,161.98
2014-09-30,105.64
2014-10-31,192.19
2014-11-30,87.07
2014-12-31,142.03
2015-01-31,135.08
2015-02-28,131.69
2015-03-31,140.01
2015-04-30,96.15
2015-05-31,160.9
2015-06-30,120.52
2015-07-31,88.57
2015-08-31,154.97
2015-09-30,106.28
2015-10-31,99.02
2015-11-30,142.7
2015-12-31,172.39
2016-01-31,49.56
2016-02-29,160.42
2016-03-31,143.95
2016-04-30,94.71
2016-05-31,124.78
2016-06-30,122.45
2016-07-31,156.32
2016-08-31,147.3
2016-09-30,179.09
2016-10-31,120.79
2016-11-30,195.53
2016-12-31,162.91
2017-01-31,99.91
2017-02-28,156.37
2017-03-31,79.03
2017-04-30,114.86
2017-05-31,138.56
2017-06-30,149.2
2017-07-31,134.95
2017-08-31,162.79
2017-09-30,184.82
2017-10-31,167.85
2017-11-30,162.28
2017-12-31,175.51
2018-01-31,128.94
2018-02-28,167.73
2018-03-31,126.73
2018-04-30,137.36
2018-05-31,126.93
2018-06-30,116.02
2018-07-31,95.46
2018-08-31,99.27
2018-09-30,147.45
2018-10-31,96.88
2018-11-30,183.55
2018-12-31,119.16
2019-01-31,107.43
2019-02-28,125.97
2019-03-31,110.39
2019-04-30,134.61
2019-05-31,97.72
2019-06-30,151.17
2019-07-31,142.99
2019-08-31,108.33
2019-09-30,118.01
2019-10-31,166.16
2019-11-30,128.75
2019-12-31,175.45
2020-01-31,120.21
2020-02-29,143.39
2020-03-31,122.75
2020-04-30,87.74
2020-05-31,84.89
2020-06-30,80.73
2020-07-31,110.63
2020-08-31,183.5
2020-09-30,128.16
2020-10-31,124.46
2020-11-30,133.93
2020-12-31,143.21
2021-01-31,140.93
2021-02-28,132.08
2021-03-31,162.13
2021-04-30,168.42
2021-05-31,252.62
2021-06-30,125.72
2021-07-31,216.21
2021-08-31,114.88
