PERIDO;XNT;IMP;BALANZA
1/01/1994;312.7059697;377.9705035;-65.26453375
2/01/1994;314.7409229;357.251688;-42.510765
3/01/1994;324.47003;423.2716686;-98.8016386
4/01/1994;341.0088445;408.3566516;-67.34780702
5/01/1994;380.0455224;453.7262361;-73.68071367
6/01/1994;344.4028004;407.8637615;-63.46096106
7/01/1994;405.8848404;426.6782166;-20.79337627
8/01/1994;398.627701;506.3998032;-107.7721022
9/01/1994;416.7390466;491.8020197;-75.06297309
10/01/1994;381.3687266;508.469704;-127.1009773
11/01/1994;377.8949883;573.7430843;-195.8480959
12/01/1994;426.2351703;563.6781491;-137.4429788
13/01/1994;420.6828392;591.4914499;-170.8086106
14/01/1994;447.1587037;525.6599085;-78.50120482
15/01/1994;418.825017;679.1721405;-260.3471235
16/01/1994;359.7704137;572.3900176;-212.6196038
17/01/1994;465.2926624;677.1997597;-211.9070973
18/01/1994;531.3936518;639.9382866;-108.5446348
19/01/1994;490.5700637;653.7833373;-163.2132736
20/01/1994;477.809722;727.0693392;-249.2596172
21/01/1994;486.8425581;649.859105;-163.016547
22/01/1994;426.1074538;650.5987446;-224.4912908
23/01/1994;456.3805056;740.3890002;-284.0084946
24/01/1994;510.5814607;625.3413978;-114.7599371
25/01/1994;440.3790493;628.892568;-188.5135186
26/01/1994;460.7223725;535.3128992;-74.59052668
27/01/1994;522.9336736;617.5249453;-94.59127163
28/01/1994;432.7953426;613.2881849;-180.4928423
29/01/1994;471.871313;748.5953698;-276.7240568
30/01/1994;553.9781952;636.4905303;-82.51233506
31/01/1994;542.5510287;706.6726377;-164.1216089
1/02/1994;498.956437;687.6151702;-188.6587332
2/02/1994;449.6892903;637.7868269;-188.0975366
3/02/1994;478.0016045;734.6070358;-256.6054313
4/02/1994;487.1814569;665.7680248;-178.5865679
5/02/1994;538.5840148;651.658176;-113.0741611
6/02/1994;557.5252051;720.223691;-162.6984859
7/02/1994;494.1939143;560.5484167;-66.35450232
8/02/1994;563.1093158;625.1733029;-62.06398705
9/02/1994;499.5285917;756.5490086;-257.0204169
10/02/1994;633.1287395;703.5070055;-70.37826599
11/02/1994;725.853971;671.3022164;54.55175455
12/02/1994;597.1585999;719.0662754;-121.9076754
13/02/1994;650.1026523;808.7895748;-158.6869225
14/02/1994;518.6614159;774.6226969;-255.961281
15/02/1994;551.0648947;743.7556094;-192.6907147
16/02/1994;473.9772241;724.2089185;-250.2316944
17/02/1994;560.2524368;727.7898206;-167.5373839
18/02/1994;415.3076248;685.7251284;-270.4175036
19/02/1994;368.6767198;670.5007324;-301.8240126
20/02/1994;413.792651;713.7535842;-299.9609332
21/02/1994;397.7564471;756.8060748;-359.0496278
22/02/1994;463.2891622;690.1687007;-226.8795386
23/02/1994;478.2410098;724.4276328;-246.186623
24/02/1994;517.8135619;698.4480032;-180.6344413
25/02/1994;536.3181928;693.1823755;-156.8641827
26/02/1994;510.2043512;656.2939088;-146.0895576
27/02/1994;525.244753;620.5557525;-95.31099946
28/02/1994;525.1394213;616.3553036;-91.21588227
1/03/1994;604.990945;692.5227704;-87.53182543
2/03/1994;528.2013467;496.4736411;31.72770559
3/03/1994;420.7010444;489.3119908;-68.61094641
4/03/1994;463.5255527;554.0074705;-90.48191778
5/03/1994;434.8818536;544.3881935;-109.5063399
6/03/1994;502.8494885;516.2116635;-13.36217494
7/03/1994;471.2089665;538.2729481;-67.06398156
8/03/1994;537.1423291;513.6011107;23.54121833
9/03/1994;548.3776244;567.5900554;-19.21243104
10/03/1994;494.3707343;605.1876011;-110.8168668
11/03/1994;545.3218701;593.8568218;-48.53495171
12/03/1994;559.8052025;637.3777271;-77.5725246
13/03/1994;581.1361862;654.2053712;-73.06918497
14/03/1994;550.6695288;587.2582642;-36.58873546
15/03/1994;526.8819721;569.5186487;-42.63667661
16/03/1994;563.0762516;618.4941041;-55.41785253
17/03/1994;502.3253056;563.5495284;-61.22422281
