PERIODO;XNPT;XPNOT;XOTROS;IMPBCON;IMPINS;IMPBCAP;IMPOTROS;BAL
Ene-94;225.2;84.1;3.41;82.79;163.77;115.94;15.47;-65.26
Feb-94;229.22;82.21;3.31;76.05;155.04;104.46;21.7;-42.51
Mar-94;225.3;95.97;3.19;99.51;187.88;109.38;26.5;-98.8
Abr-94;249.19;88.74;3.08;101.4;173.78;109.06;24.11;-67.35
May-94;281.93;94.13;3.98;110.93;193;138.09;11.71;-73.68
Jun-94;245.56;94.55;4.29;106.87;170.83;116.71;13.45;-63.46
Jul-94;300.74;101.17;3.97;107.03;169.11;130.18;20.36;-20.79
Ago-94;298.78;96.1;3.75;125.37;209.8;156.93;14.3;-107.77
Oct-94;256.18;120.3;4.88;129.94;189.75;164.9;23.87;-127.1
Nov-94;254.79;111.7;11.4;148.97;223.32;176.54;24.92;-195.85
Dic-94;297.88;123.91;4.45;146.09;206.61;185.65;25.32;-137.44
Ene-95;307.93;108.52;4.23;120.81;267.91;180.64;22.13;-170.81
Feb-95;327.14;116.27;3.75;113.75;225.08;161.34;25.49;-78.5
Mar-95;301.06;113.35;4.41;140.81;278.33;222.22;37.81;-260.35
Abr-95;245.3;110.42;4.05;140.79;232.79;180.62;18.19;-212.62
May-95;342.26;118.24;4.79;149.78;285.41;220.33;21.69;-211.91
Jun-95;396.58;126.23;8.58;147.18;270.59;195.74;26.42;-108.54
Jul-95;367.77;117.78;5.02;161.36;257.33;219.64;15.45;-163.21
Ago-95;362.32;110.51;4.98;162.6;306.52;229.56;28.4;-249.26
Oct-95;282.5;138.13;5.48;154.27;277.54;188.6;30.2;-224.49
Nov-95;321.74;129.66;4.97;181.95;281.05;202.81;74.58;-284.01
Dic-95;380.7;124.58;5.3;162.97;249.79;190.4;22.18;-114.76
Ene-96;327.51;106.41;6.45;142.14;285.22;182.56;18.96;-188.51
Feb-96;343.73;111.84;5.15;130.94;221.84;164.8;17.73;-74.59
Mar-96;390.64;126.74;5.55;150.39;266.73;185.34;15.07;-94.59
Abr-96;314.83;111.52;6.45;145.43;265.01;190.24;12.6;-180.49
May-96;338.96;125.97;6.94;158.8;307.29;236.39;46.11;-276.72
Jun-96;423.78;122.71;7.49;144.41;240.02;187.96;64.09;-82.51
Jul-96;398.19;137.49;6.87;168.47;269.42;236.47;32.32;-164.12
Ago-96;358.48;134.33;6.15;161.2;295.54;206.87;24.01;-188.66
Oct-96;315.73;155.22;7.05;163.9;301.35;237.98;31.37;-256.61
Nov-96;323.69;158.12;5.37;160.87;258.52;196;50.38;-178.59
Dic-96;367.55;165.2;5.84;156.61;252.46;194.28;48.31;-113.07
Ene-97;388;163.2;6.33;130.78;279.55;261.72;48.17;-162.7
Feb-97;345.79;143.41;5;118.06;229.31;177.51;35.68;-66.35
Mar-97;391.51;166.27;5.33;129.93;236.99;231.89;26.37;-62.06
Abr-97;333.85;160.83;4.84;169.28;285.28;257.04;44.96;-257.02
May-97;463.15;164.42;5.55;158.79;298.13;207.43;39.16;-70.38
Jun-97;532.85;186.09;6.92;149.82;283.2;193.84;44.44;54.55
Jul-97;425.72;164.85;6.58;164.65;307.25;222.01;25.15;-121.91
Ago-97;466.17;176.99;6.94;160.47;330.04;278.35;39.93;-158.69
Oct-97;358.58;186;6.49;178.26;293.51;253.71;18.28;-192.69
Nov-97;296.09;171.31;6.58;184.32;283.89;227.97;28.03;-250.23
Dic-97;357.76;195.82;6.68;187.35;268.96;229.13;42.36;-167.54
Ene-98;255.74;153.06;6.51;158.98;288.85;227.82;10.07;-270.42
Feb-98;207.97;154.67;6.03;150.89;284.6;204.39;30.61;-301.82
Mar-98;237.79;170.67;5.33;169.38;284.16;233.82;26.39;-299.96
