PERIODO;XNPT;XPNOT;XOTROS;XNT;IMPBCON;IMPINS;IMPBCAP;IMPOTROS;IMP;BAL
1994-01-01;225.20;84.10;3.41;312.71;82.79;163.77;115.94;15.47;377.97;-65.26
1994-02-01;229.22;82.21;3.31;314.74;76.05;155.04;104.46;21.70;357.25;-42.51
1994-03-01;225.30;95.97;3.19;324.47;99.51;187.88;109.38;26.50;423.27;-98.80
1994-04-01;249.19;88.74;3.08;341.01;101.40;173.78;109.06;24.11;408.36;-67.35
1994-05-01;281.93;94.13;3.98;380.05;110.93;193.00;138.09;11.71;453.73;-73.68
1994-06-01;245.56;94.55;4.29;344.40;106.87;170.83;116.71;13.45;407.86;-63.46
1994-07-01;300.74;101.17;3.97;405.88;107.03;169.11;130.18;20.36;426.68;-20.79
1994-08-01;298.78;96.10;3.75;398.63;125.37;209.80;156.93;14.30;506.40;-107.77
1994-09-01;291.69;121.73;3.32;416.74;118.84;188.96;175.66;8.35;491.80;-75.06
1994-10-01;256.18;120.30;4.88;381.37;129.94;189.75;164.90;23.87;508.47;-127.10
1994-11-01;254.79;111.70;11.40;377.89;148.97;223.32;176.54;24.92;573.74;-195.85
1994-12-01;297.88;123.91;4.45;426.24;146.09;206.61;185.65;25.32;563.68;-137.44
1995-01-01;307.93;108.52;4.23;420.68;120.81;267.91;180.64;22.13;591.49;-170.81
1995-02-01;327.14;116.27;3.75;447.16;113.75;225.08;161.34;25.49;525.66;-78.50
1995-03-01;301.06;113.35;4.41;418.83;140.81;278.33;222.22;37.81;679.17;-260.35
1995-04-01;245.30;110.42;4.05;359.77;140.79;232.79;180.62;18.19;572.39;-212.62
1995-05-01;342.26;118.24;4.79;465.29;149.78;285.41;220.33;21.69;677.20;-211.91
1995-06-01;396.58;126.23;8.58;531.39;147.18;270.59;195.74;26.42;639.94;-108.54
1995-07-01;367.77;117.78;5.02;490.57;161.36;257.33;219.64;15.45;653.78;-163.21
1995-08-01;362.32;110.51;4.98;477.81;162.60;306.52;229.56;28.40;727.07;-249.26
1995-09-01;348.71;131.23;6.90;486.84;148.64;288.55;193.55;19.12;649.86;-163.02
1995-10-01;282.50;138.13;5.48;426.11;154.27;277.54;188.60;30.20;650.60;-224.49
1995-11-01;321.74;129.66;4.97;456.38;181.95;281.05;202.81;74.58;740.39;-284.01
1995-12-01;380.70;124.58;5.30;510.58;162.97;249.79;190.40;22.18;625.34;-114.76
1996-01-01;327.51;106.41;6.45;440.38;142.14;285.22;182.56;18.96;628.89;-188.51
1996-02-01;343.73;111.84;5.15;460.72;130.94;221.84;164.80;17.73;535.31;-74.59
1996-03-01;390.64;126.74;5.55;522.93;150.39;266.73;185.34;15.07;617.52;-94.59
1996-04-01;314.83;111.52;6.45;432.80;145.43;265.01;190.24;12.60;613.29;-180.49
1996-05-01;338.96;125.97;6.94;471.87;158.80;307.29;236.39;46.11;748.60;-276.72
1996-06-01;423.78;122.71;7.49;553.98;144.41;240.02;187.96;64.09;636.49;-82.51
1996-07-01;398.19;137.49;6.87;542.55;168.47;269.42;236.47;32.32;706.67;-164.12
1996-08-01;358.48;134.33;6.15;498.96;161.20;295.54;206.87;24.01;687.62;-188.66
1996-09-01;310.44;134.10;5.15;449.69;163.87;266.15;187.98;19.79;637.79;-188.10
1996-10-01;315.73;155.22;7.05;478.00;163.90;301.35;237.98;31.37;734.61;-256.61
1996-11-01;323.69;158.12;5.37;487.18;160.87;258.52;196.00;50.38;665.77;-178.59
1996-12-01;367.55;165.20;5.84;538.58;156.61;252.46;194.28;48.31;651.66;-113.07
1997-01-01;388.00;163.20;6.33;557.53;130.78;279.55;261.72;48.17;720.22;-162.70
1997-02-01;345.79;143.41;5.00;494.19;118.06;229.31;177.51;35.68;560.55;-66.35
1997-03-01;391.51;166.27;5.33;563.11;129.93;236.99;231.89;26.37;625.17;-62.06
1997-04-01;333.85;160.83;4.84;499.53;169.28;285.28;257.04;44.96;756.55;-257.02
1997-05-01;463.15;164.42;5.55;633.13;158.79;298.13;207.43;39.16;703.51;-70.38
1997-06-01;532.85;186.09;6.92;725.85;149.82;283.20;193.84;44.44;671.30;54.55
1997-07-01;425.72;164.85;6.58;597.16;164.65;307.25;222.01;25.15;719.07;-121.91
1997-08-01;466.17;176.99;6.94;650.10;160.47;330.04;278.35;39.93;808.79;-158.69
1997-09-01;345.19;167.26;6.21;518.66;167.81;326.21;250.77;29.84;774.62;-255.96
1997-10-01;358.58;186.00;6.49;551.06;178.26;293.51;253.71;18.28;743.76;-192.69
1997-11-01;296.09;171.31;6.58;473.98;184.32;283.89;227.97;28.03;724.21;-250.23
1997-12-01;357.76;195.82;6.68;560.25;187.35;268.96;229.13;42.36;727.79;-167.54
1998-01-01;255.74;153.06;6.51;415.31;158.98;288.85;227.82;10.07;685.73;-270.42
1998-02-01;207.97;154.67;6.03;368.68;150.89;284.60;204.39;30.61;670.50;-301.82
1998-03-01;237.79;170.67;5.33;413.79;169.38;284.16;233.82;26.39;713.75;-299.96
1998-04-01;230.05;160.82;6.89;397.76;182.53;297.67;253.29;23.31;756.81;-359.05
1998-05-01;280.32;175.67;7.29;463.29;168.09;271.32;220.83;29.93;690.17;-226.88
1998-06-01;292.52;178.42;7.30;478.24;163.32;306.38;230.79;23.94;724.43;-246.19
1998-07-01;333.91;177.85;6.05;517.81;168.83;291.72;218.54;19.36;698.45;-180.63
1998-08-01;381.20;149.75;5.37;536.32;161.33;320.87;200.46;10.53;693.18;-156.86
1998-09-01;362.76;140.91;6.54;510.20;150.21;271.50;190.82;43.76;656.29;-146.09
1998-10-01;341.16;176.41;7.68;525.24;145.07;272.26;190.37;12.86;620.56;-95.31
1998-11-01;357.67;160.53;6.94;525.14;158.73;247.13;192.25;18.25;616.36;-91.22
1998-12-01;430.78;168.13;6.08;604.99;144.90;223.04;199.06;125.52;692.52;-87.53
1999-01-01;381.07;141.87;5.26;528.20;114.74;200.94;173.82;6.98;496.47;31.73
1999-02-01;279.61;136.83;4.26;420.70;113.59;191.60;160.65;23.48;489.31;-68.61
1999-03-01;311.60;147.18;4.74;463.53;131.73;234.08;174.76;13.43;554.01;-90.48
1999-04-01;295.67;133.81;5.40;434.88;114.34;232.39;191.52;6.13;544.39;-109.51
1999-05-01;346.98;150.45;5.41;502.85;116.86;216.27;170.23;12.85;516.21;-13.36
1999-06-01;314.41;150.96;5.84;471.21;113.22;234.51;179.57;10.97;538.27;-67.06
1999-07-01;378.97;151.89;6.29;537.14;111.16;230.13;162.24;10.07;513.60;23.54
1999-08-01;395.96;147.38;5.03;548.38;126.47;264.39;166.97;9.77;567.59;-19.21
1999-09-01;312.81;176.37;5.18;494.37;119.98;300.78;175.91;8.52;605.19;-110.82
1999-10-01;358.73;179.26;7.33;545.32;122.27;268.66;188.72;14.20;593.86;-48.53
1999-11-01;383.25;169.27;7.29;559.81;139.57;307.41;176.52;13.88;637.38;-77.57
1999-12-01;382.73;191.12;7.29;581.14;143.71;298.68;196.49;15.32;654.21;-73.07
2000-01-01;378.11;166.89;5.66;550.67;95.87;264.55;208.53;18.30;587.26;-36.59
