PERIODO;XNT01;XNT02;XNT03;XNT04;XNT05;XNT06;XNT07;XNT08;XNT09;XNT10;XNT11;XNT12;XNT13;XNT14;XNT15;XNT16;XNT17;XNT18;XNT19;XNT20;XNT21;XNT
Ene94;54.12;51.64;2.48;11.41;0.23;5.37;5.47;0.33;143.92;58.09;5.79;6.22;32.71;6.81;12.15;21.26;0.69;0.21;15.75;15.75;0.00;225.20
Feb94;74.42;68.44;5.98;4.22;0.37;0.00;3.61;0.24;132.77;54.23;6.34;7.65;24.35;8.60;9.87;20.13;0.69;0.93;17.81;17.81;0.00;229.22
Mar94;62.08;55.68;6.40;11.07;0.47;7.11;2.97;0.51;133.39;61.22;5.59;7.34;23.27;7.32;11.47;15.24;1.45;0.48;18.77;18.77;0.00;225.30
Abr94;66.82;61.85;4.97;4.35;0.41;0.00;3.59;0.35;165.68;62.46;5.76;7.05;31.81;8.09;14.79;32.90;1.39;1.44;12.33;12.33;0.00;249.19
May94;85.46;80.42;5.04;6.46;0.44;0.00;5.65;0.36;173.77;66.93;6.55;10.52;28.67;7.40;25.11;26.21;1.28;1.08;16.24;16.24;0.00;281.93
Jun94;67.38;57.47;9.91;15.93;1.00;0.00;14.59;0.35;146.54;57.00;5.66;11.26;27.31;6.49;10.87;26.18;1.47;0.30;15.70;15.70;0.00;245.56
Jul94;91.18;79.19;11.99;33.17;0.98;4.83;27.16;0.19;171.38;71.78;6.50;14.84;31.19;9.34;21.18;14.45;0.53;1.57;5.01;5.01;0.00;300.74
Ago94;75.99;70.21;5.78;36.01;0.40;0.01;35.41;0.19;170.59;60.33;5.81;11.59;32.36;7.66;16.47;33.37;1.67;1.33;16.19;16.19;0.00;298.78
Sep94;50.03;49.74;0.29;38.12;0.29;0.00;37.47;0.36;188.71;94.61;7.83;6.30;21.90;8.81;21.56;25.19;1.20;1.31;14.83;14.83;0.00;291.69
Oct94;28.34;24.91;3.43;40.75;0.15;5.66;34.71;0.23;170.17;72.80;8.10;7.90;33.43;9.51;14.59;21.43;1.49;0.93;16.92;16.92;0.00;256.18
Nov94;44.93;42.26;2.67;18.47;0.06;0.01;18.18;0.22;188.39;80.45;9.25;5.80;21.86;8.59;28.69;31.71;1.23;0.81;3.00;3.00;0.00;254.79
Dic94;79.03;71.52;7.51;26.99;0.13;7.94;18.15;0.78;185.50;83.74;8.41;8.49;28.96;9.31;8.34;35.58;1.93;0.74;6.35;6.35;0.00;297.88
Ene95;70.28;62.98;7.30;11.29;0.06;0.00;10.71;0.53;213.57;94.54;7.30;6.73;40.69;7.27;21.75;23.79;10.19;1.32;12.79;12.79;0.00;307.93
Feb95;100.60;97.50;3.10;17.20;0.13;8.62;8.28;0.16;197.14;86.59;6.06;10.51;34.59;8.92;23.32;18.07;7.20;1.88;12.21;12.21;0.00;327.14
Mar95;95.81;79.51;16.30;8.35;0.48;0.00;7.51;0.35;182.45;80.09;6.82;11.29;33.69;7.17;9.00;27.46;6.53;0.39;14.45;14.45;0.00;301.06
Abr95;38.88;32.03;6.85;6.38;0.76;0.01;5.04;0.57;182.94;75.57;7.20;3.27;34.57;5.83;21.04;27.55;7.20;0.70;17.10;17.10;0.00;245.30
May95;69.11;59.90;9.22;17.15;1.04;0.00;15.91;0.20;225.29;105.43;4.08;6.93;36.53;10.14;24.55;31.50;4.16;1.97;30.71;30.71;0.00;342.26
Jun95;113.74;101.85;11.89;28.09;2.20;0.00;25.51;0.38;229.57;95.41;10.34;9.55;39.69;9.09;27.47;33.74;2.53;1.76;25.18;25.18;0.00;396.58
Jul95;85.18;75.90;9.28;42.60;1.51;0.00;40.75;0.34;218.47;114.64;8.01;7.61;37.36;8.80;10.46;25.48;4.98;1.13;21.52;21.52;0.00;367.77
Ago95;50.23;47.52;2.71;49.28;0.89;7.17;40.77;0.45;240.83;117.11;9.80;8.05;41.21;11.06;23.40;25.56;3.68;0.97;21.97;21.97;0.00;362.32
Sep95;34.29;31.25;3.04;54.25;3.65;0.33;49.83;0.44;242.76;116.51;7.53;9.91;44.10;10.71;19.93;29.93;2.10;2.04;17.41;17.41;0.00;348.71
Oct95;9.10;7.40;1.70;44.65;3.81;6.78;33.61;0.45;199.03;95.05;6.54;8.82;33.61;9.30;18.64;22.71;2.09;2.28;29.72;29.72;0.00;282.50
Nov95;41.77;40.41;1.36;38.72;6.84;0.00;31.68;0.20;228.40;106.60;7.03;8.18;40.51;9.04;27.41;26.96;2.02;0.67;12.85;12.85;0.00;321.74
Dic95;77.93;75.83;2.10;27.88;3.66;7.35;16.37;0.50;255.23;110.77;6.96;9.21;46.31;12.35;31.36;32.71;2.22;3.35;19.65;19.65;0.00;380.70
Ene96;63.10;57.19;5.91;23.48;4.06;7.55;11.75;0.12;199.16;74.43;9.36;10.11;50.05;10.73;15.70;26.50;1.62;0.67;41.78;41.78;0.00;327.51
Feb96;88.73;80.42;8.31;9.01;2.29;0.00;6.32;0.40;226.45;108.56;3.46;6.41;38.70;9.82;14.34;42.53;1.25;1.40;19.55;19.55;0.00;343.73
Mar96;97.63;97.38;0.25;16.63;1.80;7.30;7.15;0.38;237.35;100.75;10.41;8.12;55.28;8.10;20.17;30.14;3.30;1.08;39.03;39.03;0.00;390.64
Abr96;48.48;45.32;3.16;10.30;2.19;0.01;7.42;0.68;224.89;71.64;7.24;10.49;47.17;11.18;32.78;42.41;1.23;0.74;31.16;31.16;0.00;314.83
May96;55.79;53.43;2.37;24.36;2.62;0.00;20.82;0.92;236.80;95.51;7.33;3.74;50.52;11.85;27.91;37.09;2.04;0.80;22.00;22.00;0.00;338.96
Jun96;130.30;108.37;21.92;28.57;2.01;0.00;26.24;0.31;230.51;98.77;10.00;11.86;55.17;10.64;17.12;24.71;1.66;0.57;34.41;34.41;0.00;423.78
Jul96;94.29;88.54;5.75;43.85;2.26;0.02;40.69;0.89;233.89;79.56;11.12;7.46;56.05;10.11;28.37;37.35;2.30;1.57;26.15;26.15;0.00;398.19
Ago96;83.12;69.92;13.20;48.54;2.38;7.83;37.95;0.39;194.80;82.89;6.76;7.80;52.53;11.62;12.36;19.30;1.09;0.45;32.01;32.01;0.00;358.48
Sep96;61.28;57.32;3.96;30.65;0.89;0.00;28.53;1.24;197.80;65.96;7.74;1.19;47.22;8.64;31.70;33.34;1.48;0.55;20.71;20.71;0.00;310.44
Oct96;50.60;50.21;0.39;18.89;2.78;0.00;15.74;0.37;210.83;86.62;13.91;4.55;35.76;9.05;23.96;32.85;3.79;0.36;35.40;35.40;0.00;315.73
Nov96;33.31;31.97;1.34;33.37;3.11;14.47;15.35;0.44;226.27;91.51;7.37;2.29;54.45;8.59;26.01;32.33;3.05;0.68;30.73;30.73;0.00;323.69
Dic96;102.18;94.85;7.33;9.48;3.85;0.00;5.15;0.47;235.68;96.06;13.95;9.89;36.39;9.14;23.92;42.28;3.69;0.35;20.21;20.21;0.00;367.55
Ene97;127.64;110.64;17.00;20.56;4.57;11.89;3.19;0.91;200.97;82.46;12.48;9.01;40.75;7.60;16.09;30.05;2.00;0.52;38.83;38.83;0.00;388.00
Feb97;122.14;107.98;14.16;8.69;3.74;2.38;1.88;0.69;191.18;83.57;11.17;5.25;32.84;7.68;15.83;31.33;2.56;0.96;23.78;23.78;0.00;345.79
Mar97;109.49;107.47;2.02;8.40;4.73;0.00;2.97;0.70;247.44;98.55;11.59;5.31;50.82;10.63;23.22;42.56;3.48;1.27;26.18;26.18;0.00;391.51
Abr97;69.98;63.69;6.28;19.02;2.06;0.00;16.57;0.40;212.68;91.07;8.70;0.89;39.20;8.69;16.19;43.51;2.94;1.48;32.17;32.17;0.00;333.85
May97;118.77;104.76;14.01;47.25;1.93;0.00;44.90;0.42;253.92;90.49;14.65;11.35;47.09;8.47;21.35;57.24;2.41;0.88;43.20;43.20;0.00;463.15
Jun97;161.11;139.25;21.85;100.22;1.50;4.52;93.41;0.78;241.88;112.93;8.42;4.25;39.00;9.53;16.88;47.45;2.63;0.79;29.65;29.65;0.00;532.85
Jul97;117.94;101.59;16.35;83.26;1.83;5.06;75.52;0.84;192.96;70.95;9.45;7.91;35.02;7.57;17.17;43.51;0.92;0.46;31.56;31.56;0.00;425.72
Ago97;84.34;84.00;0.34;73.62;2.94;0.22;69.94;0.52;279.06;132.81;10.65;2.40;52.68;8.93;18.94;48.62;3.25;0.78;29.16;29.16;0.00;466.17
Sep97;55.40;53.23;2.17;41.51;1.65;0.21;39.22;0.42;217.58;83.40;7.93;10.49;40.32;8.06;18.16;45.71;2.03;1.48;30.71;30.71;0.00;345.19
Oct97;36.43;36.30;0.14;32.13;2.98;0.16;28.61;0.38;246.69;95.76;17.86;4.61;34.62;6.72;25.54;57.46;3.49;0.63;43.32;43.32;0.00;358.58
Nov97;47.56;47.36;0.20;14.21;2.31;0.11;10.80;0.99;207.80;74.97;11.10;6.57;50.99;12.86;15.13;32.21;3.30;0.66;26.52;26.52;0.00;296.09
Dic97;75.10;74.58;0.52;22.83;1.89;9.84;9.85;1.25;238.35;79.34;9.23;8.40;36.74;8.04;32.51;59.60;3.27;1.21;21.47;21.47;0.00;357.76
Ene98;41.07;38.05;3.02;10.21;0.91;0.03;8.62;0.64;187.00;60.83;11.86;9.16;46.64;11.71;8.39;35.92;1.69;0.81;17.46;17.46;0.00;255.74
Feb98;6.10;5.99;0.11;6.07;1.54;0.00;4.37;0.15;170.67;55.01;11.62;5.16;37.73;10.44;17.14;29.63;3.05;0.90;25.13;25.13;0.00;207.97
Mar98;16.03;15.32;0.71;8.07;0.32;0.00;6.86;0.88;195.99;62.96;8.43;13.73;43.04;11.58;10.66;40.74;4.09;0.77;17.70;17.70;0.00;237.79
Abr98;3.72;3.67;0.05;16.39;0.00;0.00;16.06;0.33;181.20;55.83;12.74;5.51;39.99;8.40;17.90;35.99;4.21;0.63;28.74;28.74;0.00;230.05
